node1,node2,123risksum
[-73.96549624  40.82431684],[-74.00338488  40.76072887],3.0
[-73.94327251  40.7934881 ],[-73.94103497  40.79254667],4.0
[-73.91768746  40.84223933],[-73.91655582  40.84382242],3.0
[-73.98216565  40.60073547],[-73.98260528  40.60305794],3.0
[-73.98075398  40.73383497],[-73.98311381  40.73483805],4.0
[-73.91030272  40.69669944],[-73.90951343  40.69749921],3.0
[-74.00444637  40.60480185],[-74.00558708  40.60357161],2.0
[-73.92560683  40.66850525],[-73.92834967  40.66864719],1.0
[-73.81884002  40.69123938],[-73.81757836  40.69159642],2.0
[-73.87280183  40.72530414],[-73.8713776   40.72352286],2.0
[-73.9106858   40.72298975],[-73.9106462   40.72237217],2.0
[-73.82163629  40.81591849],[-73.82106266  40.81494916],2.0
[-73.85736282  40.89341144],[-73.860239    40.89435507],5.0
[-73.85450805  40.87358094],[-73.85551758  40.87390396],3.0
[-73.86250924  40.84836228],[-73.86160277  40.84854631],2.0
[-73.90438589  40.66003466],[-73.90342062  40.66017792],2.0
[-73.81436855  40.5877533 ],[-73.81385549  40.58707787],2.0
[-73.89450337  40.72909801],[-73.89327388  40.7271921 ],2.0
[-73.97458407  40.61161358],[-73.9757906   40.61232846],1.0
[-73.9906222   40.75099175],[-73.98793688  40.74985497],4.0
[-73.89112403  40.84541001],[-73.89009518  40.84490153],9.0
[-73.9870327   40.71807058],[-73.98663134  40.71792808],10.0
[-73.98729377  40.75045161],[-73.98776906  40.74978703],4.0
[-73.90028368  40.86247184],[-73.90163307  40.86026598],8.0
[-73.99735983  40.72994171],[-73.99657214  40.72955223],3.0
[-73.99332397  40.72238008],[-73.99415315  40.72272256],10.0
[-74.09967735  40.61966605],[-74.09640365  40.62233483],3.0
[-73.88923949  40.84947122],[-73.88989993  40.84986964],2.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],5.0
[-73.86432329  40.84559585],[-73.8651178   40.84780063],3.0
[-73.91795238  40.8418796 ],[-73.91901072  40.84064826],3.0
[-74.17508922  40.53947319],[-74.17468543  40.53879442],5.0
[-74.17413145  40.53785809],[-74.17468543  40.53879442],5.0
[-73.94571934  40.83272141],[-73.94297966  40.83156798],3.0
[-73.8940003   40.84877483],[-73.89320217  40.84838942],4.0
[-73.94007704  40.70910255],[-73.94175879  40.7089434 ],3.0
[-73.90351391  40.86091751],[-73.90229298  40.8627176 ],8.0
[-74.00843635  40.73481432],[-74.01004291  40.73458937],2.0
[-73.99750245  40.60877541],[-73.99692222  40.60933469],4.0
[-73.91388448  40.80872277],[-73.9135123   40.80934573],9.0
[-73.91388448  40.80872277],[-73.9135123   40.80934573],9.0
[-74.00159654  40.72611888],[-74.0006869   40.72721721],8.0
[-73.79803103  40.69162094],[-73.79779406  40.69128112],3.0
[-73.98326434  40.68151918],[-73.98290467  40.68207426],2.0
[-73.89973273  40.84405582],[-73.90104033  40.84420608],3.0
[-73.94214782  40.80055612],[-73.94261573  40.7999282 ],2.0
[-73.87955971  40.87573018],[-73.87973061  40.87686549],3.0
[-73.81482814  40.73455266],[-73.81487352  40.73379916],3.0
[-73.88595072  40.88050741],[-73.88706963  40.8824769 ],2.0
[-73.94274747  40.71028392],[-73.94304347  40.7102545 ],2.0
[-74.06871841  40.59808123],[-74.0668799   40.59868602],2.0
[-73.82308277  40.67285757],[-73.82251809  40.67467281],2.0
[-73.94195261  40.85171197],[-73.94290575  40.84995584],2.0
[-73.89723125  40.70709131],[-73.89693956  40.70649918],2.0
[-74.14996626  40.62631385],[-74.15011474  40.62555511],1.0
[-74.17413145  40.53785809],[-74.17468543  40.53879442],2.0
[-73.97054933  40.69160186],[-73.97085934  40.69317202],2.0
[-73.83106199  40.74724614],[-73.83118356  40.7465382 ],1.0
[-73.87919157  40.64165238],[-73.88494836  40.64680217],2.0
[-73.88124423  40.88270963],[-73.88346345  40.88078293],2.0
[-74.00456134  40.73400963],[-74.00296962  40.73425234],2.0
[-73.96261011  40.67184625],[-73.96741864  40.67304909],3.0
[-73.85574152  40.84314265],[-73.85686326  40.84352969],2.0
